Wavelength,Absorption
350,-0.041499
351,0.02075
352,0.083
353,0.084257
354,0.0842
355,0.083693
356,0.0836
357,0.086821
358,0.0878
359,0.087829
360,0.0882
361,0.088721
362,0.0888
363,0.089279
364,0.091
365,0.093114
366,0.0942
367,0.094836
368,0.0956
369,0.095229
370,0.0952
371,0.095571
372,0.0964
373,0.094114
374,0.0944
375,0.095011
376,0.0937
377,0.093918
378,0.0938
379,0.094032
380,0.0953
381,0.096782
382,0.0968
383,0.096718
384,0.0979
385,0.099618
386,0.1
387,0.100357
388,0.102
389,0.104295
390,0.10425
391,0.10443
392,0.1074
393,0.109041
394,0.10935
395,0.109634
396,0.1112
397,0.112379
398,0.1122
399,0.112221
400,0.114
401,0.114902
402,0.11525
403,0.115673
404,0.1168
405,0.119457
406,0.1192
407,0.118893
408,0.1214
409,0.123479
410,0.1236
411,0.123896
412,0.1265
413,0.128041
414,0.12765
415,0.127159
416,0.1284
417,0.128341
418,0.12875
419,0.128909
420,0.1281
421,0.128091
422,0.12785
423,0.127634
424,0.1277
425,0.127864
426,0.1283
427,0.128761
428,0.129
429,0.129959
430,0.12985
431,0.129366
432,0.1292
433,0.127566
434,0.12745
435,0.127809
436,0.1276
437,0.124854
438,0.1247
439,0.124646
440,0.1222
441,0.119384
442,0.11935
443,0.119241
444,0.1162
445,0.111823
446,0.11165
447,0.111452
448,0.107
449,0.103071
450,0.103
451,0.103054
452,0.0995
453,0.097123
454,0.09695
455,0.096952
456,0.0951
457,0.094136
458,0.0941
459,0.094114
460,0.0933
461,0.092343
462,0.0925
463,0.092657
464,0.0917
465,0.090666
466,0.09075
467,0.090634
468,0.089
469,0.088259
470,0.08825
471,0.088166
472,0.0872
473,0.0852
474,0.0852
475,0.0853
476,0.0836
477,0.08197
478,0.08195
479,0.08188
480,0.0801
481,0.078536
482,0.0783
483,0.078214
484,0.0771
485,0.075614
486,0.0755
487,0.075511
488,0.0744
489,0.073577
490,0.07335
491,0.072923
492,0.0715
493,0.070534
494,0.07045
495,0.070191
496,0.0687
497,0.067298
498,0.06745
499,0.067352
500,0.0652
501,0.063127
502,0.06315
503,0.063173
504,0.0611
505,0.059555
506,0.05985
507,0.06002
508,0.0581
509,0.057062
510,0.05705
511,0.057088
512,0.0562
513,0.05435
514,0.0544
515,0.05445
516,0.0526
517,0.050975
518,0.0511
519,0.051225
520,0.0496
521,0.048859
522,0.04885
523,0.048666
524,0.0474
525,0.046146
526,0.0463
527,0.046504
528,0.0454
529,0.044661
530,0.0447
531,0.044664
532,0.0437
533,0.043855
534,0.04405
535,0.044245
536,0.0444
537,0.043584
538,0.04355
539,0.043466
540,0.0425
541,0.042137
542,0.04235
543,0.042288
544,0.0411
545,0.039912
546,0.03985
547,0.039838
548,0.0388
549,0.037616
550,0.03765
551,0.037709
552,0.0366
553,0.036161
554,0.0363
555,0.036339
556,0.0356
557,0.035234
558,0.03535
559,0.035241
560,0.0342
561,0.033089
562,0.0331
563,0.033161
564,0.0322
565,0.031834
566,0.03195
567,0.032016
568,0.0315
569,0.031059
570,0.03115
571,0.031241
572,0.0308
573,0.030286
574,0.0304
575,0.030514
576,0.03
577,0.029257
578,0.0292
579,0.029468
580,0.0297
581,0.029548
582,0.02945
583,0.029402
584,0.0294
585,0.029091
586,0.02875
587,0.028509
588,0.0285
589,0.028198
590,0.02805
591,0.028027
592,0.0281
593,0.027941
594,0.02765
595,0.027534
596,0.0279
597,0.028052
598,0.02815
599,0.028173
600,0.0281
601,0.028314
602,0.0281
603,0.028011
604,0.0286
605,0.028602
606,0.02865
607,0.028573
608,0.0282
609,0.028571
610,0.0286
611,0.028579
612,0.0288
613,0.029468
614,0.0295
615,0.029507
616,0.0301
617,0.030252
618,0.03035
619,0.030348
620,0.0302
621,0.030057
622,0.0302
623,0.030268
624,0.0299
625,0.030271
626,0.0303
627,0.030229
628,0.0303
629,0.030598
630,0.03065
631,0.030627
