Wavelength,Reflectance
400,0.05942
401,0.058822
402,0.058224
403,0.057626
404,0.057028
405,0.05643
406,0.056074
407,0.055718
408,0.055362
409,0.055006
410,0.05465
411,0.05424
412,0.05383
413,0.05342
414,0.05301
415,0.0526
416,0.051964
417,0.051328
418,0.050692
419,0.050056
420,0.04942
421,0.049118
422,0.048816
423,0.048514
424,0.048212
425,0.04791
426,0.047796
427,0.047682
428,0.047568
429,0.047454
430,0.04734
431,0.047702
432,0.048064
433,0.048426
434,0.048788
435,0.04915
436,0.049712
437,0.050274
438,0.050836
439,0.051398
440,0.05196
441,0.052248
442,0.052536
443,0.052824
444,0.053112
445,0.0534
446,0.05368
447,0.05396
448,0.05424
449,0.05452
450,0.0548
451,0.054948
452,0.055096
453,0.055244
454,0.055392
455,0.05554
456,0.05562
457,0.0557
458,0.05578
459,0.05586
460,0.05594
461,0.056116
462,0.056292
463,0.056468
464,0.056644
465,0.05682
466,0.057164
467,0.057508
468,0.057852
469,0.058196
470,0.05854
471,0.059294
472,0.060048
473,0.060802
474,0.061556
475,0.06231
476,0.06325
477,0.06419
478,0.06513
479,0.06607
480,0.06701
481,0.06776
482,0.06851
483,0.06926
484,0.07001
485,0.07076
486,0.071554
487,0.072348
488,0.073142
489,0.073936
490,0.07473
491,0.075878
492,0.077026
493,0.078174
494,0.079322
495,0.08047
496,0.081902
497,0.083334
498,0.084766
499,0.086198
500,0.08763
501,0.089142
502,0.090654
503,0.092166
504,0.093678
505,0.09519
506,0.096502
507,0.097814
508,0.099126
509,0.100438
510,0.10175
511,0.10262
512,0.10349
513,0.10436
514,0.10523
515,0.1061
516,0.106878
517,0.107656
518,0.108434
519,0.109212
520,0.10999
521,0.110774
522,0.111558
523,0.112342
524,0.113126
525,0.11391
526,0.114648
527,0.115386
528,0.116124
529,0.116862
530,0.1176
531,0.118572
532,0.119544
533,0.120516
534,0.121488
535,0.12246
536,0.123538
537,0.124616
538,0.125694
539,0.126772
540,0.12785
541,0.129178
542,0.130506
543,0.131834
544,0.133162
545,0.13449
546,0.136336
547,0.138182
548,0.140028
549,0.141874
550,0.14372
551,0.146002
552,0.148284
553,0.150566
554,0.152848
555,0.15513
556,0.15788
557,0.16063
558,0.16338
559,0.16613
560,0.16888
561,0.171842
562,0.174804
563,0.177766
564,0.180728
565,0.18369
566,0.186258
567,0.188826
568,0.191394
569,0.193962
570,0.19653
571,0.197838
572,0.199146
573,0.200454
574,0.201762
575,0.20307
576,0.20311
577,0.20315
578,0.20319
579,0.20323
580,0.20327
581,0.202734
582,0.202198
583,0.201662
584,0.201126
585,0.20059
586,0.200328
587,0.200066
588,0.199804
589,0.199542
590,0.19928
591,0.200022
592,0.200764
593,0.201506
594,0.202248
595,0.20299
596,0.204722
597,0.206454
598,0.208186
599,0.209918
600,0.21165
601,0.212902
602,0.214154
603,0.215406
604,0.216658
605,0.21791
606,0.217392
607,0.216874
608,0.216356
609,0.215838
610,0.21532
611,0.213386
612,0.211452
613,0.209518
614,0.207584
615,0.20565
616,0.203884
617,0.202118
618,0.200352
619,0.198586
620,0.19682
621,0.195734
622,0.194648
623,0.193562
624,0.192476
625,0.19139
626,0.190286
627,0.189182
628,0.188078
629,0.186974
630,0.18587
631,0.184844
632,0.183818
633,0.182792
634,0.181766
635,0.18074
636,0.179926
637,0.179112
638,0.178298
639,0.177484
640,0.17667
641,0.17582
642,0.17497
643,0.17412
644,0.17327
645,0.17242
646,0.171744
647,0.171068
648,0.170392
649,0.169716
650,0.16904
651,0.167178
652,0.165316
653,0.163454
654,0.161592
655,0.15973
656,0.154714
657,0.149698
658,0.144682
659,0.139666
660,0.13465
661,0.128816
662,0.122982
663,0.117148
664,0.111314
665,0.10548
666,0.102058
667,0.098636
668,0.095214
669,0.091792
670,0.08837
671,0.08796
672,0.08755
673,0.08714
674,0.08673
675,0.08632
676,0.088398
677,0.090476
678,0.092554
679,0.094632
680,0.09671
681,0.102644
682,0.108578
683,0.114512
684,0.120446
685,0.12638
686,0.139658
687,0.152936
688,0.166214
689,0.179492
690,0.19277
691,0.211882
692,0.230994
693,0.250106
694,0.269218
695,0.28833
696,0.305866
697,0.323402
698,0.340938
699,0.358474
700,0.37601
701,0.38816
702,0.40031
703,0.41246
704,0.42461
705,0.43676
706,0.4444
707,0.45204
708,0.45968
709,0.46732
710,0.47496
711,0.4798
712,0.48464
713,0.48948
714,0.49432
715,0.49916
716,0.502778
717,0.506396
718,0.510014
719,0.513632
720,0.51725
721,0.520672
722,0.524094
723,0.527516
724,0.530938
725,0.53436
726,0.537728
727,0.541096
728,0.544464
729,0.547832
730,0.5512
731,0.554318
732,0.557436
733,0.560554
734,0.563672
735,0.56679
736,0.569392
737,0.571994
738,0.574596
739,0.577198
740,0.5798
741,0.58173
742,0.58366
743,0.58559
744,0.58752
745,0.58945
746,0.590922
747,0.592394
748,0.593866
749,0.595338
750,0.59681
751,0.597968
752,0.599126
753,0.600284
754,0.601442
755,0.6026
756,0.603568
757,0.604536
758,0.605504
759,0.606472
760,0.60744
761,0.608296
762,0.609152
763,0.610008
764,0.610864
765,0.61172
766,0.612506
767,0.613292
768,0.614078
769,0.614864
770,0.61565
771,0.616394
772,0.617138
773,0.617882
774,0.618626
775,0.61937
776,0.62008
777,0.62079
778,0.6215
779,0.62221
780,0.62292
781,0.6236
782,0.62428
783,0.62496
784,0.62564
785,0.62632
786,0.626962
787,0.627604
788,0.628246
789,0.628888
790,0.62953
791,0.63012
792,0.63071
793,0.6313
794,0.63189
795,0.63248
796,0.632984
797,0.633488
798,0.633992
799,0.634496
800,0.635
801,0.635386
802,0.635772
803,0.636158
804,0.636544
805,0.63693
806,0.637232
807,0.637534
808,0.637836
809,0.638138
810,0.63844
811,0.638692
812,0.638944
813,0.639196
814,0.639448
815,0.6397
816,0.639924
817,0.640148
818,0.640372
819,0.640596
820,0.64082
821,0.641024
822,0.641228
823,0.641432
824,0.641636
825,0.64184
826,0.642036
827,0.642232
828,0.642428
829,0.642624
830,0.64282
831,0.64301
832,0.6432
833,0.64339
834,0.64358
835,0.64377
836,0.643956
837,0.644142
838,0.644328
839,0.644514
840,0.6447
841,0.644884
842,0.645068
843,0.645252
844,0.645436
845,0.64562
846,0.645804
847,0.645988
848,0.646172
849,0.646356
850,0.64654
851,0.646722
852,0.646904
853,0.647086
854,0.647268
855,0.64745
856,0.64763
857,0.64781
858,0.64799
859,0.64817
860,0.64835
861,0.64853
862,0.64871
863,0.64889
864,0.64907
865,0.64925
866,0.64943
867,0.64961
868,0.64979
869,0.64997
870,0.65015
871,0.650328
872,0.650506
873,0.650684
874,0.650862
875,0.65104
876,0.651214
877,0.651388
878,0.651562
879,0.651736
880,0.65191
881,0.652082
882,0.652254
883,0.652426
884,0.652598
885,0.65277
886,0.652934
887,0.653098
888,0.653262
889,0.653426
890,0.65359
891,0.653742
892,0.653894
893,0.654046
894,0.654198
895,0.65435
896,0.65448
897,0.65461
898,0.65474
899,0.65487
900,0.655
901,0.655102
902,0.655204
903,0.655306
904,0.655408
905,0.65551
906,0.655592
907,0.655674
908,0.655756
909,0.655838
910,0.65592
911,0.655988
912,0.656056
913,0.656124
914,0.656192
915,0.65626
916,0.656324
917,0.656388
918,0.656452
919,0.656516
920,0.65658
921,0.656638
922,0.656696
923,0.656754
924,0.656812
925,0.65687
926,0.656924
927,0.656978
928,0.657032
929,0.657086
930,0.65714
931,0.657194
932,0.657248
933,0.657302
934,0.657356
935,0.65741
936,0.657464
937,0.657518
938,0.657572
939,0.657626
940,0.65768
941,0.657732
942,0.657784
943,0.657836
944,0.657888
945,0.65794
946,0.657992
947,0.658044
948,0.658096
949,0.658148
950,0.6582
951,0.658252
952,0.658304
953,0.658356
954,0.658408
955,0.65846
956,0.65851
957,0.65856
958,0.65861
959,0.65866
960,0.65871
961,0.658762
962,0.658814
963,0.658866
964,0.658918
965,0.65897
966,0.659018
967,0.659066
968,0.659114
969,0.659162
970,0.65921
971,0.659258
972,0.659306
973,0.659354
974,0.659402
975,0.65945
976,0.659494
977,0.659538
978,0.659582
979,0.659626
980,0.65967
981,0.659708
982,0.659746
983,0.659784
984,0.659822
985,0.65986
986,0.65989
987,0.65992
988,0.65995
989,0.65998
