Wavelength,Reflectance
400,0.1
401,0.10075
402,0.1015
403,0.10225000000000001
404,0.10300000000000001
405,0.10375000000000001
406,0.10450000000000001
407,0.10525000000000001
408,0.10600000000000001
409,0.10675000000000001
410,0.10750000000000001
411,0.10825000000000001
412,0.109
413,0.10975
414,0.1105
415,0.11125
416,0.112
417,0.11275
418,0.1135
419,0.11425
420,0.115
421,0.11575
422,0.1165
423,0.11725000000000001
424,0.11800000000000001
425,0.11875000000000001
426,0.11950000000000001
427,0.12025000000000001
428,0.12100000000000001
429,0.12175
430,0.1225
431,0.12325
432,0.124
433,0.12475
434,0.1255
435,0.12625
436,0.127
437,0.12775
438,0.1285
439,0.12925
440,0.13
441,0.13075
442,0.1315
443,0.13225
444,0.133
445,0.13375
446,0.1345
447,0.13525
448,0.136
449,0.13675
450,0.1375
451,0.13825
452,0.139
453,0.13974999999999999
454,0.1405
455,0.14125000000000001
456,0.14200000000000002
457,0.14275
458,0.14350000000000002
459,0.14425
460,0.14500000000000002
461,0.14575
462,0.1465
463,0.14725
464,0.14800000000000002
465,0.14875
466,0.14950000000000002
467,0.15025
468,0.151
469,0.15175
470,0.1525
471,0.15325
472,0.154
473,0.15475
474,0.1555
475,0.15625
476,0.157
477,0.15775
478,0.1585
479,0.15925
480,0.16
481,0.16075
482,0.1615
483,0.16225
484,0.163
485,0.16375
486,0.1645
487,0.16525
488,0.166
489,0.16675
490,0.1675
491,0.16825
492,0.16899999999999998
493,0.16975
494,0.17049999999999998
495,0.17125
496,0.172
497,0.17275000000000001
498,0.1735
499,0.17425000000000002
500,0.175
501,0.17575000000000002
502,0.1765
503,0.17725000000000002
504,0.178
505,0.17875000000000002
506,0.1795
507,0.18025000000000002
508,0.181
509,0.18175
510,0.1825
511,0.18325
512,0.184
513,0.18475
514,0.1855
515,0.18625
516,0.187
517,0.18775000000000003
518,0.1885
519,0.18925
520,0.19
521,0.19075
522,0.1915
523,0.19225
524,0.193
525,0.19375
526,0.1945
527,0.19525
528,0.196
529,0.19674999999999998
530,0.1975
531,0.19824999999999998
532,0.199
533,0.19974999999999998
534,0.2005
535,0.20125
536,0.202
537,0.20275
538,0.20350000000000001
539,0.20425
540,0.20500000000000002
541,0.20575
542,0.20650000000000002
543,0.20725
544,0.208
545,0.20875
546,0.2095
547,0.21025
548,0.21100000000000002
549,0.21175
550,0.21250000000000002
551,0.21325
552,0.21400000000000002
553,0.21475
554,0.2155
555,0.21625
556,0.217
557,0.21775
558,0.2185
559,0.21925
560,0.22
561,0.22075
562,0.2215
563,0.22225
564,0.22299999999999998
565,0.22375
566,0.2245
567,0.22525
568,0.226
569,0.22675
570,0.2275
571,0.22825
572,0.229
573,0.22975
574,0.23049999999999998
575,0.23125
576,0.232
577,0.23275
578,0.2335
579,0.23424999999999999
580,0.23500000000000001
581,0.23575
582,0.23650000000000002
583,0.23725
584,0.238
585,0.23875000000000002
586,0.2395
587,0.24025000000000002
588,0.241
589,0.24175
590,0.2425
591,0.24325
592,0.244
593,0.24475
594,0.2455
595,0.24625
596,0.247
597,0.24775
598,0.2485
599,0.24925
600,0.25
601,0.25075000000000003
602,0.2515
603,0.25225
604,0.253
605,0.25375000000000003
606,0.2545
607,0.25525
608,0.256
609,0.25675000000000003
610,0.2575
611,0.25825
612,0.259
613,0.25975000000000004
614,0.2605
615,0.26125
616,0.262
617,0.26275
618,0.26349999999999996
619,0.26425
620,0.265
621,0.26575
622,0.26649999999999996
623,0.26725
624,0.268
625,0.26875000000000004
626,0.26949999999999996
627,0.27025
628,0.271
629,0.27175000000000005
630,0.27249999999999996
631,0.27325
632,0.274
633,0.27475
634,0.2755
635,0.27625
636,0.277
637,0.27775
638,0.27849999999999997
639,0.27925
640,0.28
641,0.28075
642,0.2815
643,0.28225
644,0.28300000000000003
645,0.28375
646,0.2845
647,0.28525
648,0.286
